Date,Open,High,Low,Close,Adj_Close,Volume
2019-10-11,8047339844,8115799805,8046799805,8057040039,8057040039,2176080000
2019-10-14,8044350098,8069850098,8036410156,8048649902,8048649902,1419730000
2019-10-15,8074850098,8166180176,8071810059,8148709961,8148709961,1836650000
2019-10-16,8119810059,8146149902,8103379883,8124180176,8124180176,1886720000
2019-10-17,8176910156,8183640137,8131250000,8156850098,8156850098,1861570000
2019-10-18,8149850098,8157359863,8045370117,8089540039,8089540039,2012930000
2019-10-21,8137419922,8164140137,8117259766,8162990234,8162990234,1752860000
2019-10-22,8188120117,8194620117,8101979980,8104299805,8104299805,1847200000
2019-10-23,8090240234,8122879883,8078350098,8119790039,8119790039,1805030000
2019-10-24,8180040039,8187839844,8137660156,8185799805,8185799805,1882490000
2019-10-25,8150589844,8249969727,8150589844,8243120117,8243120117,1894740000
2019-10-28,8285769531,8335559570,8285269531,8325990234,8325990234,1956280000
2019-10-29,8313349609,8319290039,8275139648,8276849609,8276849609,1834530000
2019-10-30,8284280273,8315500000,8241700195,8303980469,8303980469,1928420000
2019-10-31,8314379883,8321799805,8248809570,8292360352,8292360352,2258270000
2019-11-01,8335049805,8386750000,8326559570,8386400391,8386400391,2057310000
2019-11-04,8445500000,8451370117,8421299805,8433200195,8433200195,2149910000
2019-11-05,8446620117,8457389648,8421049805,8434679688,8434679688,2316710000
2019-11-06,8426570313,8426570313,8379330078,8410629883,8410629883,2332650000
2019-11-07,8455110352,8483160156,8415870117,8434519531,8434519531,2393950000
2019-11-08,8422669922,8475570313,8405889648,8475309570,8475309570,1974190000
2019-11-11,8431259766,8467290039,8425480469,8464280273,8464280273,1715470000
2019-11-12,8471070313,8514839844,8462990234,8486089844,8486089844,1987820000
2019-11-13,8455019531,8496900391,8451339844,8482099609,8482099609,2173320000
2019-11-14,8461059570,8485360352,8441580078,8479019531,8479019531,2106550000
2019-11-15,8524480469,8540830078,8506799805,8540830078,8540830078,2188210000
2019-11-18,8529160156,8559780273,8503620117,8549940430,8549940430,2047240000
2019-11-19,8578019531,8589759766,8536730469,8570660156,8570660156,2075000000
2019-11-20,8543570313,8578269531,8468629883,8526730469,8526730469,2596030000
2019-11-21,8527870117,8530730469,8487290039,8506209961,8506209961,2056230000
2019-11-22,8530540039,8535459961,8477490234,8519879883,8519879883,1877090000
2019-11-25,8559650391,8633150391,8559650391,8632490234,8632490234,2256070000
2019-11-26,8635400391,8659730469,8625620117,8647929688,8647929688,2434570000
2019-11-27,8669589844,8705910156,8662580078,8705179688,8705179688,1744580000
2019-11-29,8682009766,8697320313,8664040039,8665469727,8665469727,1099090000
2019-12-02,8672839844,8672839844,8540160156,8567990234,8567990234,2225940000
2019-12-03,8460719727,8523980469,8435400391,8520639648,8520639648,2308600000
2019-12-04,8557450195,8584879883,8552379883,8566669922,8566669922,2150680000
2019-12-05,8587929688,8588889648,8541919922,8570700195,8570700195,2123380000
2019-12-06,8634250000,8665440430,8630580078,8656530273,8656530273,2053530000
2019-12-09,8650860352,8678849609,8619769531,8621830078,8621830078,2088520000
2019-12-10,8623559570,8650759766,8600820313,8616179688,8616179688,2053390000
2019-12-11,8631120117,8658480469,8622360352,8654049805,8654049805,1937850000
2019-12-12,8645360352,8745820313,8633599609,8717320313,8717320313,2388270000
2019-12-13,8713910156,8768870117,8697580078,8734879883,8734879883,2188720000
2019-12-16,8791309570,8833450195,8789769531,8814230469,8814230469,2346290000
2019-12-17,8829469727,8831990234,8804599609,8823360352,8823360352,2374120000
2019-12-18,8834650391,8848759766,8820419922,8827740234,8827740234,2727870000
2019-12-19,8838969727,8888129883,8838969727,8887219727,8887219727,2415950000
2019-12-20,8911839844,8931910156,8901870117,8924959961,8924959961,3825460000
2019-12-23,8950200195,8956639648,8934549805,8945650391,8945650391,2025450000
2019-12-24,8955009766,8957120117,8934360352,8952879883,8952879883,1014520000
2019-12-26,8970209961,9022459961,8968459961,9022389648,9022389648,1634920000
2019-12-27,9049469727,9052000000,8987320313,9006620117,9006620117,1832200000
2019-12-30,9004450195,9006360352,8909190430,8945990234,8945990234,2042420000
2019-12-31,8918740234,8975360352,8912769531,8972599609,8972599609,2182800000
2020-01-02,9039459961,9093429688,9010889648,9092190430,9092190430,2848370000
2020-01-03,8976429688,9065759766,8976429688,9020769531,9020769531,2567400000
2020-01-06,8943500000,9072410156,8943500000,9071469727,9071469727,2788120000
